valtable_id,definition,description,vss_type,vss_labels
ACTIVATION,0:NO_ACTIVATION;1:ACTIVATION,Value table for ACTIVATION,enum,NO_ACTIVATION|ACTIVATION
ACTIVE,0:INACTIVE;1:ACTIVE;2:RESERVED;3:NA,Value table for ACTIVE,boolean,INACTIVE|ACTIVE
DRTINDICATION,0:FORWARD;1:REVERSE;2:ERR;3:NA,Value table for DRTINDICATION,enum,FORWARD|REVERSE
IFCONFIGUREDASPRPTA,0:ALWAYS,Value table for IFCONFIGUREDASPRPTA,enum,ALWAYS
STRMDREQ,0:NOT_OPERATING;1:OPERATING,Value table for STRMDREQ,enum,NOT_OPERATING|OPERATING
AUXSTRDEVICELCKOUT,0:AUX_STEERING_ALLOWED;1:AUX_STEERING_PROHIBITED;2:RESERVED;3:NA,Value table for AUXSTRDEVICELCKOUT,enum,AUX_STEERING_ALLOWED|AUX_STEERING_PROHIBITED
AUTOGUDRECVSELANDLCKOUT,0:NO_GPS_RECEV_SEL_GPS_STR_PROH;1:GPS_STEERING_SELECTED;2:GPS_2_STEERING_SELECTED;3:RESERVED,Value table for AUTOGUDRECVSELANDLCKOUT,enum,NO_GPS_RECEV_SEL_GPS_STR_PROH|GPS_STEERING_SELECTED|GPS_2_STEERING_SELECTED
TRVLSPDSET,0:PRESET_1;1:PRESET_2;2:PRESET_3;3:PRESET_4,Value table for TRVLSPDSET,enum,PRESET_1|PRESET_2|PRESET_3|PRESET_4
SPD,0:SPEED_0;1:SPEED_0.5;2:SPEED_1;3:SPEED_1.5;4:SPEED_2;5:SPEED_2.5;6:SPEED_3;7:SPEED_3.5;8:SPEED_4;9:SPEED_4.5;10:SPEED_5,Value table for SPD,enum,SPEED_0|SPEED_0.5|SPEED_1|SPEED_1.5|SPEED_2|SPEED_2.5|SPEED_3|SPEED_3.5|SPEED_4|SPEED_4.5|SPEED_5
MNAUTOMDST,0:MANUAL;1:NA;2:AUTO;3:RESERVED,Value table for MNAUTOMDST,enum,MANUAL|AUTO
MDST,0:DISABLE;1:NA;2:ENAEBLE;3:RESERVED,Value table for MDST,enum,DISABLE|ENAEBLE
OUTTAKEINTAKEMDST,0:OUTTAKE_MODE;1:NA;2:INTAKE_MODE;3:RESERVED,Value table for OUTTAKEINTAKEMDST,enum,OUTTAKE_MODE|INTAKE_MODE
VHCSTSYBACOFFIND,0:OFF;1:ON_NO_BLINKING;2:BLINK_NORMAL_BLINK;3:BLINK_SLOW_BLINK,Value table for VHCSTSYBACOFFIND,enum,OFF|ON_NO_BLINKING|BLINK_NORMAL_BLINK|BLINK_SLOW_BLINK
OUTFDBKCUR,254:ERR;255:NA,Value table for OUTFDBKCUR,enum,
ERRORFLAG,0:NONE;255:ERR,Value table for ERRORFLAG,enum,
NOROPENSHORT,0:NORMAL;1:OPEN;2:SHORT,Value table for NOROPENSHORT,enum,NORMAL|OPEN|SHORT
RESOLUTIONMD,0:STANDARD_RESOLUTION;1:HIGH_RESOLUTION;2:RESERVED;3:DONT_CARE,Value table for RESOLUTIONMD,enum,STANDARD_RESOLUTION|HIGH_RESOLUTION|DONT_CARE
VVST,0:BLOCK;1:EXTEND;2:RETRACT;3:FLOAT;15:NA,Value table for VVST,enum,BLOCK|EXTEND|RETRACT|FLOAT
FAILSAFEMD,0:BLOCK;1:EXTEND;2:RESERVED;3:DONT_CARE,Value table for FAILSAFEMD,enum,BLOCK|EXTEND|DONT_CARE
AVMLANGUAGEPACK,0:NOTUSED;1:KOREAN_DEFAULT;2:ENGLISH;3:CHINESE_PRC;4:FRENCH_FRANCE;5:GERMAN_GERMANY;6:DUTCH_NETHERLANDS;7:ITALIAN_ITALY;8:PORTUGUESE_PORTUGAL;9:SPANISH_INTERNATIONAL;10:FINNISH;11:SWEDISH;12:NORWEGIAN_BOKMAL;13:DANISH;14:JAPANESE;15:TURKISH;16:INDONESIAN;17:POLISH;18:RUSSIAN;19:ARABIC_SAUDI_ARABIA;20:FARSI_PERSIAN;21:HINDI;22:THAI;23:GREEK;24:VIETNAMESE,Value table for AVMLANGUAGEPACK,enum,NOTUSED|KOREAN_DEFAULT|ENGLISH|CHINESE_PRC|FRENCH_FRANCE|GERMAN_GERMANY|DUTCH_NETHERLANDS|ITALIAN_ITALY|PORTUGUESE_PORTUGAL|SPANISH_INTERNATIONAL|FINNISH|SWEDISH|NORWEGIAN_BOKMAL|DANISH|JAPANESE|TURKISH|INDONESIAN|POLISH|RUSSIAN|ARABIC_SAUDI_ARABIA|FARSI_PERSIAN|HINDI|THAI|GREEK|VIETNAMESE
AVMVW,0:TOPVIEW;1:REAR_WIDE;2:TOP_PLUS_RIGHT;3:REAR_PLUS_CORNER;4:3D;5:BOOM_OPTION;15:NA,Value table for AVMVW,enum,TOPVIEW|REAR_WIDE|TOP_PLUS_RIGHT|REAR_PLUS_CORNER|3D|BOOM_OPTION
AVMOUTTYPE,0:NOT_USED;1:AVM_OUTPUT_TYPE_NTSC;2:AVM_OUTPUT_TYPE_LVDS;6:ERR;7:INVALID,Value table for AVMOUTTYPE,enum,NOT_USED|AVM_OUTPUT_TYPE_NTSC|AVM_OUTPUT_TYPE_LVDS|INVALID
AVMDISPLAYMSG,0:NOT_USED;1:NO_MESSAGE;2:INCAMERACALIBARION_MODE;62:WARNING_CHECK_FRONT_RIGHT_LEFT;63:WARNING_CHECK_BACK_RIGHT_LEFT;254:ERR;255:INVALID,Value table for AVMDISPLAYMSG,enum,NOT_USED|NO_MESSAGE|INCAMERACALIBARION_MODE|WARNING_CHECK_FRONT_RIGHT_LEFT|WARNING_CHECK_BACK_RIGHT_LEFT|INVALID
AVMTONSIZE,0:NOT_USED;1:5T_CRAWLER;2:5T_WHEEL;3:14T_WHEEL;4:21T_WHEEL;5:30T_CRAWLER;14:ERR;15:INVALID,Value table for AVMTONSIZE,enum,NOT_USED|5T_CRAWLER|5T_WHEEL|14T_WHEEL|21T_WHEEL|30T_CRAWLER|INVALID
AVMULTRABZ,0:ULTRASONIC_ALL_OFF;1:LEFT_ACTIVATION;2:RIGHR_ACTIVATION;3:REAR_ACTIVATION;4:LEFT_REAR_ACTIVATION;5:LEFT_RIGHT_ACTIVATION;6:RIGHT_REAR_ACTIVATION;7:LEFT_RIGHT_REAR_ACTIVATION;14:ERR;15:INVALID,Value table for AVMULTRABZ,enum,ULTRASONIC_ALL_OFF|LEFT_ACTIVATION|RIGHR_ACTIVATION|REAR_ACTIVATION|LEFT_REAR_ACTIVATION|LEFT_RIGHT_ACTIVATION|RIGHT_REAR_ACTIVATION|LEFT_RIGHT_REAR_ACTIVATION|INVALID
AVMST,0:NOT_USED;1:AVM_NOT_READY_IGN_OFF;2:AVM_NORMAL_IGN_ON;3:AVM_FAIL;30:ERR;31:INVALID,Value table for AVMST,enum,NOT_USED|AVM_NOT_READY_IGN_OFF|AVM_NORMAL_IGN_ON|AVM_FAIL|INVALID
AVMWARNGUD,0:NOT_USED;1:AVM_WARNING_GUIDE_LINE_OFF;2:AVM_WARNING_GUIDE_LINE_ON;6:ERR;7:INVALID,Value table for AVMWARNGUD,enum,NOT_USED|AVM_WARNING_GUIDE_LINE_OFF|AVM_WARNING_GUIDE_LINE_ON|INVALID
ULTSSIG,0:OFF;1:LEVEL_1;2:LEVEL_2;3:LEVEL_3;4:FAULT;5:NOISE_ERR;14:ERR;15:INVALID,Value table for ULTSSIG,enum,OFF|LEVEL_1|LEVEL_2|LEVEL_3|FAULT|NOISE_ERR|INVALID
WORKING,0:NOT_WORKING;1:WORKING,Value table for WORKING,enum,NOT_WORKING|WORKING
HTPADST,0:OFF;1:ON_BOARD_CHARGER,Value table for HTPADST,enum,OFF|ON_BOARD_CHARGER
CHGST,0:STANDBY;1:CHARGING;2:FAILURE;3:COMPLETE;4:PAUSE;5:RESERVED;6:CHARGER_ERR;7:NA,Value table for CHGST,enum,STANDBY|CHARGING|FAILURE|COMPLETE|PAUSE|CHARGER_ERR
BMSCHGSOURCETYPE,0:NONE;1:ON_BOARD_CHARGER;2:QUICK_CHARGER;3:NA,Value table for BMSCHGSOURCETYPE,enum,ON_BOARD_CHARGER|QUICK_CHARGER
SCRTYCMD,0:NORMAL;1:RPM_LIMIT;2:ENGINE_LOCK;3:NA,Value table for SCRTYCMD,enum,NORMAL|RPM_LIMIT|ENGINE_LOCK
GPSANTST,0:NORMAL;1:REMOVED;2:SHORTEN;3:NA,Value table for GPSANTST,enum,NORMAL|REMOVED|SHORTEN
KEYTYPE,0:NONE;1:FOB;2:DIGITAL_KEY;3:KEYLESS;4:REMOTE,Value table for KEYTYPE,enum,FOB|DIGITAL_KEY|KEYLESS|REMOTE
TYPE,0:2G;1:3G;2:4G;3:5G;7:NA,Value table for TYPE,enum,2G|3G|4G|5G
OFFWARN,0:OFF;1:WARNING_LEVEL1;2:WARNING_LEVEL2,Value table for OFFWARN,enum,OFF|WARNING_LEVEL1|WARNING_LEVEL2
FOBCERT,0:NONE;1:SUCCESS;2:FAIL;3:LOCK,Value table for FOBCERT,enum,SUCCESS|FAIL|LOCK
FOBDTTREQ,0:DEFAULT;1:NA;2:NA1;3:REQUEST,Value table for FOBDTTREQ,enum,DEFAULT|NA1|REQUEST
FOBIDREQ,0:NR;1:REQ_TO_SEND_REGISTERED_FOB_ID;2:NR1;3:NR2,Value table for FOBIDREQ,enum,REQ_TO_SEND_REGISTERED_FOB_ID|NR1|NR2
DOORLCKSTCHANGE,0:NONE;1:CLOSE;2:OPEN;3:NA,Value table for DOORLCKSTCHANGE,enum,CLOSE|OPEN
NONEONOFFFAIL,0:NONE;1:HVAC_ON;2:HVAC_OFF;3:FAIL,Value table for NONEONOFFFAIL,enum,HVAC_ON|HVAC_OFF|FAIL
ONOFFFAIL,0:NONE;1:ON;2:OFF;3:FAIL,Value table for ONOFFFAIL,enum,ON|OFF|FAIL
RLSFAIL,0:NONE;1:RELEASE;2:RELEASE_OFF;3:FAIL,Value table for RLSFAIL,enum,RELEASE|RELEASE_OFF|FAIL
HORN5S,0:NO_ACTION;1:HORN_ON;2:NO_ACTION1;3:FAIL,Value table for HORN5S,enum,NO_ACTION|HORN_ON|NO_ACTION1|FAIL
EGSTARTHOLDINGTM,0:5MIN_DEFAULT;1:10MIN;2:15MIN;3:20MIN;4:25MIN;5:30MIN;6:NA;7:NONE,Value table for EGSTARTHOLDINGTM,enum,5MIN_DEFAULT|10MIN|15MIN|20MIN|25MIN|30MIN
RMRUNST,0:NORMAL_STATUS;1:REMOTE_START,Value table for RMRUNST,enum,NORMAL_STATUS|REMOTE_START
ACKNACK,0:NOT_ACTIVE;1:ACK;2:NACK,Value table for ACKNACK,enum,NOT_ACTIVE|ACK|NACK
RESULTOFCRANK,0:NONE_TRY;1:SUCCESS;2:OPEN_MTDOOR;3:OPEN_CABDOOR;4:NO_PARK;5:NO_NEUTRAL;6:NO_CUTOFF;7:UNKNOWN_FAIL,Value table for RESULTOFCRANK,enum,NONE_TRY|SUCCESS|OPEN_MTDOOR|OPEN_CABDOOR|NO_PARK|NO_NEUTRAL|NO_CUTOFF|UNKNOWN_FAIL
POSNEGA,0:POSITIVE;1:NEGATIVE,Value table for POSNEGA,enum,POSITIVE|NEGATIVE
INVLT,14:ERR;15:NA,Value table for INVLT,enum,
BZZCTRLCMD,0:BUZZER_OFF;1:BUZZER_ON_STATE1;2:BUZZER_ON_STATE2;3:BUZZER_ON_STATE3,Value table for BZZCTRLCMD,enum,BUZZER_OFF|BUZZER_ON_STATE1|BUZZER_ON_STATE2|BUZZER_ON_STATE3
VHCSTTRACTIONLV,0:A_3;1:B_2;2:C_1;3:ND,Value table for VHCSTTRACTIONLV,enum,A_3|B_2|C_1
QCKCOOLST,0:BEFORE_PROCEEDING;1:PROCEEDING;2:NOT_POSSIBLE_TO_PROCEED,Value table for QCKCOOLST,enum,BEFORE_PROCEEDING|PROCEEDING|NOT_POSSIBLE_TO_PROCEED
WGHCONFIRMWARNMSG,0:OFF;1:SWING_SPEED_TOO_FAST;2:BOOM_TOO_HIGH;3:BOOM_TOO_LOW;4:ARM_TOO_NEAR;5:ARM_TOO_FAR;6:POOR_LIFT,Value table for WGHCONFIRMWARNMSG,enum,OFF|SWING_SPEED_TOO_FAST|BOOM_TOO_HIGH|BOOM_TOO_LOW|ARM_TOO_NEAR|ARM_TOO_FAR|POOR_LIFT
WHLTYPESTRMD,0:OFF;1:2WHEEL_MODE;2:4WHEEL_MODE_ROUND;3:4WHEEL_MODE_CRAB,Value table for WHLTYPESTRMD,enum,OFF|2WHEEL_MODE|4WHEEL_MODE_ROUND|4WHEEL_MODE_CRAB
CURMAXSPDMINOR,0:STEP_0;1:STEP_1,Value table for CURMAXSPDMINOR,enum,STEP_0|STEP_1
FNRNTRL,0:OFF;1:COMBI_SWITCH_NOT_NEUTRAL;2:JOYSTICK_NOT_NEUTRAL;3:BOTH_NOT_NEUTRAL,Value table for FNRNTRL,enum,OFF|COMBI_SWITCH_NOT_NEUTRAL|JOYSTICK_NOT_NEUTRAL|BOTH_NOT_NEUTRAL
WRKTRV,0:OFF;1:GREY;2:GREEN;3:ND,Value table for WRKTRV,enum,OFF|GREY|GREEN
OFFONGY,0:OFF;1:ON;2:CONDITION_GREEN;3:CONDITION_YELLOW,Value table for OFFONGY,enum,OFF|ON|CONDITION_GREEN|CONDITION_YELLOW
TRLHHFLOWMD,0:STANDARD_BLUE;1:XPS_ORANGE;2:XHP_XE_RED,Value table for TRLHHFLOWMD,enum,STANDARD_BLUE|XPS_ORANGE|XHP_XE_RED
STATE7,0:OFF;1:STATE_1;2:STATE_2;3:STATE_3;4:STATE_4;5:STATE_5;6:STATE_6;7:STATE_7,Value table for STATE7,enum,OFF|STATE_1|STATE_2|STATE_3|STATE_4|STATE_5|STATE_6|STATE_7
STATE3,0:OFF;1:STATE_1;2:STATE_2;3:STATE_3,Value table for STATE3,enum,OFF|STATE_1|STATE_2|STATE_3
HPAPMD,0:OFF;1:HP;2:AP;3:NA,Value table for HPAPMD,enum,OFF|HP|AP
RMCRAKINGST,0:NONE;1:SUCCESS;2:FAIL_BY_PARKING_SWITCH;3:FAIL_BY_NEUTRAL_SWITCH;4:FAIL_BY_PILOT_CUT_OFF_SWITCH;5:FAIL_BY_ANOTHER_REASON,Value table for RMCRAKINGST,enum,SUCCESS|FAIL_BY_PARKING_SWITCH|FAIL_BY_NEUTRAL_SWITCH|FAIL_BY_PILOT_CUT_OFF_SWITCH|FAIL_BY_ANOTHER_REASON
TRVL,0:NOT_TRAVELING;1:TRAVELING;2:RESERVED;3:NA,Value table for TRVL,enum,NOT_TRAVELING|TRAVELING
WARNPOPMGMCSSERR,0:NONE;1:SS_ERR_BODY_BOOM_ARM_BCK_SWG;2:SENSOR_ERR_TILT;3:SENSOR_ERR_PILOT_CUTOFF;4:MACHINE_ERR;5:XCU_COMMUNICATION_ERR;6:TILT_ROTATOR_ERR,Value table for WARNPOPMGMCSSERR,enum,SS_ERR_BODY_BOOM_ARM_BCK_SWG|SENSOR_ERR_TILT|SENSOR_ERR_PILOT_CUTOFF|MACHINE_ERR|XCU_COMMUNICATION_ERR|TILT_ROTATOR_ERR
WARNPOPLIMITANGEXCESS,0:NONE;1:TILTING_IS_NOT_POSSIBLE,Value table for WARNPOPLIMITANGEXCESS,enum,TILTING_IS_NOT_POSSIBLE
NONECHECK,0:NONE;1:CHECK,Value table for NONECHECK,enum,CHECK
OPTSETMCHNAMEINIT,0:INITIAL_STAGE;1:SET,Value table for OPTSETMCHNAMEINIT,enum,INITIAL_STAGE|SET
MCHGENR,128:DL;129:H;130:K;131:S;132:SD;133:G,Value table for MCHGENR,enum,DL|H|K|S|SD|G
MAXGRLMT,0:3RD_GEAR_LIMIT_4TH_TRANSMISSION;1:3RD_GEAR_LIMIT_5TH_TRANSMISSION;2:4TH_GEAR;3:5TH_GEAR_LOCK_UP;4:CVT,Value table for MAXGRLMT,enum,3RD_GEAR_LIMIT_4TH_TRANSMISSION|3RD_GEAR_LIMIT_5TH_TRANSMISSION|4TH_GEAR|5TH_GEAR_LOCK_UP|CVT
REQCD,0:COMPARE_VHC_TYPE_ID;3:BLOCK_HANDLER;4:LOG_LOADER;10:REPROGRAMMED_VHC_TYPE_ID,Value table for REQCD,enum,COMPARE_VHC_TYPE_ID|BLOCK_HANDLER|LOG_LOADER|REPROGRAMMED_VHC_TYPE_ID
RESULTCD,0:VHC_TYPE_ID_IDENTICAL;1:VHC_TYPE_ID_DIFFERENT;10:REQUEST_ID_REPROGRAMMED;11:REQUEST_ID_NA;20:TCI_ID_MESSAGE_REQUIRED,Value table for RESULTCD,enum,VHC_TYPE_ID_IDENTICAL|VHC_TYPE_ID_DIFFERENT|REQUEST_ID_REPROGRAMMED|REQUEST_ID_NA|TCI_ID_MESSAGE_REQUIRED
ECOGUDCTRL,1:RECOM_USE_OF_THE_LIS_FEATURE;2:RECOM_USE_1_4_AUTO;4:PREVENTION_OF_IDLE_STATE;8:RECOM_USE_OF_LOCK_UP;16:RECOM_LOWERING_THE_ENGINE_MODE;32:RECOM_USE_OF_THE_ICCO_FEATURE,Value table for ECOGUDCTRL,enum,RECOM_USE_OF_THE_LIS_FEATURE|RECOM_USE_1_4_AUTO|PREVENTION_OF_IDLE_STATE|RECOM_USE_OF_LOCK_UP|RECOM_LOWERING_THE_ENGINE_MODE|RECOM_USE_OF_THE_ICCO_FEATURE
AUTOST,0:INITIALIZED;1:DISARMED;2:ARM_REQUESTED;3:DEACTIVATION;4:ACTIVATION,Value table for AUTOST,enum,INITIALIZED|DISARMED|ARM_REQUESTED|DEACTIVATION|ACTIVATION
INTERLCKST,0:NO_LOCKOUT;1:TIMEOUT;2:MACHINE_SAFETY,Value table for INTERLCKST,enum,NO_LOCKOUT|TIMEOUT|MACHINE_SAFETY
FUNCFAULT,0:NO_FAULT;1:COMMUNICATION_TIMEOUT;2:RESERVED;4:MACHINE_FAULT,Value table for FUNCFAULT,enum,NO_FAULT|COMMUNICATION_TIMEOUT|MACHINE_FAULT
OUTTAKEINTAKEMDSEL,0:OUTTAKE_MODE;1:INTAKE_MODE;2:NA;3:RESERVED,Value table for OUTTAKEINTAKEMDSEL,enum,OUTTAKE_MODE|INTAKE_MODE
OFFER,0:OFF;255:ERR,Value table for OFFER,enum,OFF
OFFONACTIVE,0:OFF;1:ON;2:ACTIVE;3:RESERVED,Value table for OFFONACTIVE,enum,OFF|ON|ACTIVE
READY,0:NOT_READY;1:READY,Value table for READY,enum,NOT_READY|READY
ARMREACHIND,0:NEAR;1:MID;2:FAR;3:RESERVED,Value table for ARMREACHIND,enum,NEAR|MID|FAR
REACH,0:NOT_REACH;1:REACH,Value table for REACH,enum,NOT_REACH|REACH
DISARMNOR,0:DISARMED;1:NORMAL;2:SERVICE;3:ND,Value table for DISARMNOR,enum,DISARMED|NORMAL|SERVICE
INTERLOCKREQ,0:NO_LOCKOUT_PRESENT_AUTO_ALLOWED;1:TIME_OUT;2:MACHINE_SAFETY,Value table for INTERLOCKREQ,enum,NO_LOCKOUT_PRESENT_AUTO_ALLOWED|TIME_OUT|MACHINE_SAFETY
ACCEPT,0:NOT_ACCEPTED;1:ACCEPTED,Value table for ACCEPT,enum,NOT_ACCEPTED|ACCEPTED
SELMDHEARTBEAT,0:INITIALIZED;1:DISARMED;2:ARM_REQUESTED;3:DEACTIVATION;4:ACTIVATED,Value table for SELMDHEARTBEAT,enum,INITIALIZED|DISARMED|ARM_REQUESTED|DEACTIVATION|ACTIVATED
AMBLMPCOLORMD,0:USER_SETTING_COLOR;1:POWER_MODE_COLOR,Value table for AMBLMPCOLORMD,enum,USER_SETTING_COLOR|POWER_MODE_COLOR
PWRMDSEL,0:POWERPLUS;1:POWER;2:STANDARD;3:ECO,Value table for PWRMDSEL,enum,POWERPLUS|POWER|STANDARD|ECO
WRKMDSEL,0:DIG;1:LIFT;2:1WAY;3:2WAY,Value table for WRKMDSEL,enum,DIG|LIFT|1WAY|2WAY
DIALSTEP,0:STEP_1;1:STEP_2;2:STEP_3;3:STEP_4;4:STEP_5;5:STEP_6;6:STEP_7;7:STEP_8;8:STEP_9;9:STEP_10;10:STEP_11;11:STEP_12;12:STEP_13,Value table for DIALSTEP,enum,STEP_1|STEP_2|STEP_3|STEP_4|STEP_5|STEP_6|STEP_7|STEP_8|STEP_9|STEP_10|STEP_11|STEP_12|STEP_13
OBJINZONE,0:NO_OBJECT_IN_ZONE;1:LEVEL_C;2:LEVEL_B;3:LEVEL_A;7:NA,Value table for OBJINZONE,enum,NO_OBJECT_IN_ZONE|LEVEL_C|LEVEL_B|LEVEL_A
CONNECTED,0:NONE;1:NETWORK_CONNECTED;2:CLOUD_CONNECTED;3:NA,Value table for CONNECTED,enum,NETWORK_CONNECTED|CLOUD_CONNECTED
PROVISIONED,0:NONE;1:NETWORK_PROVISIONED;2:THING_PROVISIONED,Value table for PROVISIONED,enum,NETWORK_PROVISIONED|THING_PROVISIONED
ACTIVENW,0:NONE;1:CELL;2:WIFI;3:ERR,Value table for ACTIVENW,enum,CELL|WIFI
CELLANTTYPE,0:NONE;1:INTERNAL;2:EXTERNAL;3:NA,Value table for CELLANTTYPE,enum,INTERNAL|EXTERNAL
GSMTYPE,0:GPRS;1:EDGE;3:UMTS;4:HSDPA;5:HSUPA;6:HSDPA_HSUPA;7:1XRTT;8:1XEVDO;9:1XEVDO_REVA;10:1XEVDO_REVB;11:1XEVDV;12:3XRTT;13:UMB;14:LTE;15:5G_NSA;16:5G_SA,Value table for GSMTYPE,enum,GPRS|EDGE|UMTS|HSDPA|HSUPA|HSDPA_HSUPA|1XRTT|1XEVDO|1XEVDO_REVA|1XEVDO_REVB|1XEVDV|3XRTT|UMB|LTE|5G_NSA|5G_SA
ANTST,0:NORMAL;1:ERR1;2:ERR2;3:NA,Value table for ANTST,enum,NORMAL|ERR1|ERR2
NONEACTIVE,0:NONE;1:ACTIVE;2:INACTIVE,Value table for NONEACTIVE,enum,ACTIVE|INACTIVE
VHCST,0:BATTERY_DISCONNECT;1:KEY_OFF;2:KEY_ON;3:ACC_ON;4:ENGINE_ON;5:ERR,Value table for VHCST,enum,BATTERY_DISCONNECT|KEY_OFF|KEY_ON|ACC_ON|ENGINE_ON
STARTUPRSN,0:RTC;1:KEY;2:EMERGENCY;3:LOW_BATTERY;4:CELL;5:ACCELEROMETER;6:REBOOT_REQUEST,Value table for STARTUPRSN,enum,RTC|KEY|EMERGENCY|LOW_BATTERY|CELL|ACCELEROMETER|REBOOT_REQUEST
TMNST,0:INIT;1:RUNNING;2:SLEEP_MACHINE_BATTERY;3:SLEEP_TERMINAL_BATTERY;4:DEEP_SLEEP;5:DEAD_TBAT;6:SHUT_DOWN;7:MODULE_EXIT;8:POWER_OFF;9:TESTING;10:RESTART;11:EXIT,Value table for TMNST,enum,INIT|RUNNING|SLEEP_MACHINE_BATTERY|SLEEP_TERMINAL_BATTERY|DEEP_SLEEP|DEAD_TBAT|SHUT_DOWN|MODULE_EXIT|POWER_OFF|TESTING|RESTART|EXIT
VHCVLT,0:24V;1:12V,Value table for VHCVLT,enum,24V|12V
TASKST,0:OK;1:OFFLINE;2:PACKET_LOSS_FAIL;3:GENERAL_FAILURE,Value table for TASKST,enum,OK|OFFLINE|PACKET_LOSS_FAIL|GENERAL_FAILURE
ERCODE,0:NONE;1:SENSOR_VALUE_OUT_OF_RANGE;2:UNABLE_TO_PARSE_MESSAGE,Value table for ERCODE,enum,SENSOR_VALUE_OUT_OF_RANGE|UNABLE_TO_PARSE_MESSAGE
CMDOPCODE,16:TRANSFER_FILE;17:OPEN_CAN_TUNNEL;18:REBOOT;19:KWP_REQUEST;20:J1939_REQUEST;21:SECURITY_ACTION;22:REMOTE_GAUGE_ON;23:REQUEST_FILE;24:ADD_GEOFENCE;25:ADD_TIMEFENCE;26:SECURITY_CONFIGURATION;27:DELETE_GEOFENCE;28:DELETE_TIMEFENCE;29:REQUEST_REPORT;30:TURN_ON_REMOTE_TRACKING;31:SET_TIMEZONE;32:TURN_OFF_REMOTE_GAUGE;33:TURN_OFF_REMOTE_TRACKING;35:SET_DEFAULT_VEHICLE_TYPE;36:TEST_PORT_COMMAND;37:TEST_PORT_COMMAND_QUICK_RES;38:BULK_FIRMWARE_DOWNLOAD;39:BULK_CONFIGURATION_DOWNLOAD;40:SBDRANGERESPONSE;41:TESTPORTCOMMANDV4;42:ABORTCOMMAND;43:REQUEST_FILE_VERSION_2;47:SET_TIMEZONE_V2;160:REQUEST_CURRENT_ADT_LOG;161:SECURITY_VERIFICATION_COMMAND;163:J1939_REQUEST_V2;164:SMARTKEY_COMMAND;165:SET_DEFAULT_VEHICLE_TYPE_V2;176:TRANSFER_NETWORK_CONFIGURATION;177:REQUEST_FILE_V3,Value table for CMDOPCODE,enum,TRANSFER_FILE|OPEN_CAN_TUNNEL|REBOOT|KWP_REQUEST|J1939_REQUEST|SECURITY_ACTION|REMOTE_GAUGE_ON|REQUEST_FILE|ADD_GEOFENCE|ADD_TIMEFENCE|SECURITY_CONFIGURATION|DELETE_GEOFENCE|DELETE_TIMEFENCE|REQUEST_REPORT|TURN_ON_REMOTE_TRACKING|SET_TIMEZONE|TURN_OFF_REMOTE_GAUGE|TURN_OFF_REMOTE_TRACKING|SET_DEFAULT_VEHICLE_TYPE|TEST_PORT_COMMAND|TEST_PORT_COMMAND_QUICK_RES|BULK_FIRMWARE_DOWNLOAD|BULK_CONFIGURATION_DOWNLOAD|SBDRANGERESPONSE|TESTPORTCOMMANDV4|ABORTCOMMAND|REQUEST_FILE_VERSION_2|SET_TIMEZONE_V2|REQUEST_CURRENT_ADT_LOG|SECURITY_VERIFICATION_COMMAND|J1939_REQUEST_V2|SMARTKEY_COMMAND|SET_DEFAULT_VEHICLE_TYPE_V2|TRANSFER_NETWORK_CONFIGURATION|REQUEST_FILE_V3
