NAME,DESC,VALUE
MAXSPD,SPEED_3,3
MAXSPD,SPEED_4,4
MAXSPD,SPEED_5,5
RPMREQMD,AUTOIDLE,0
RPMREQMD,LIMPHOME,1
RPMREQMD,NONE,3
NFR,POSITION_N,0
NFR,POSITION_F,1
NFR,POSITION_R,2
NFR,TCU_REQUIRES_N_POSITION,3
GRST,NEUTRAL,0
GRST,GEAR_1,1
GRST,GEAR_2,2
GRST,GEAR_3,3
GRST,GEAR_4,4
GRST,GEAR_5,5
GRST,GEAR_6,6
GRST,LIMP_HOME,7
OPMD,NORMAL,0
OPMD,SUBSTITUTE_CLUTCH_CONTROL,1
OPMD,LIMP_HOME,2
OPMD,TRANSMISSION_SHUTDOWN,3
OPMD,TCU_SHUTDOWN,4
OPMD,TCU_KEY_OFF,5
OPMD,TCU_IDLE,6
MCHKEYONST,KEY_OFF,0
MCHKEYONST,KEY_ON,1
MCHKEYONST,KEY_OFF_CHARGING,2
MCHKEYONST,NOT_DEFINED,3
CHRGST,CHARGING,0
CHRGST,CHARGING_PORT_WARNING,1
CHRGST,CHARGING_GUN_WARNING,2
CHRGST,AC_VOLTAGE_ABOVE_NORMAL,3
CHRGST,AC_VOLTAGE_BELOW_NORMAL,4
CHRGST,EVSE_SIGNOT_AVAILABLEL_WARNING,5
TRVMDCRW,LOW_SPEED,0
TRVMDCRW,HIGH_SPEED,1
TRVMDCRW,AUTO_SPEED,2
TRVMDCRW,NOT_AVAILABLE,3
TWOWAYOPT,NOT_DEFINED,0
TWOWAYOPT,JOYSTICK_THUMB_WHEEL,1
TWOWAYOPT,OPTION_PEDAL,2
ISOBHL,OFF,0
ISOBHL,ISO,1
ISOBHL,BHL,2
TRVMDWHL,1,0
TRVMDWHL,2,1
TRVMDWHL,3,2
TRVMDWHL,NOT_DEFINED,3
HHMNTLGC,OFF,0
HHMNTLGC,3000M_OR_LESS,1
HHMNTLGC,4000M_OR_LESS,2
HHMNTLGC,4000M_EXCEED,3
BRAKERACT,STOP,0
BRAKERACT,RUNNING,1
BRAKERACT,FORCED_STOP,2
BRAKERACT,NOT_AVAILABLE,3
TRVMDWLD,MANUAL,0
TRVMDWLD,AUTO_SPEED_1,1
TRVMDWLD,AUTO_SPEED_2,2
TRVMDWLD,NOT_DEFINED,3
HSTMDWLD,MAX,0
HSTMDWLD,AUTO,1
HSTMDWLD,SLIP,2
HSTMDWLD,NOT_DEFINED,3
OPRPOWMD,P_HDI,0
OPRPOWMD,S_HDI,1
OPRPOWMD,E_HDI,2
OPRPOWMD,A_HDI,3
OPRPOWMD,P_PLUS_HDI,4
OPRPOWMD,I_HCE,5
OPRPOWMD,L_HCE,6
OPRPOWMD,E_HCE,7
OPRPOWMD,P_HCE,8
OPRPOWMD,HP_HCE,9
OPRPOWMD,AP_HCE,10
OPRPOWMD,P_SMART_HCE,11
OPRMD,NORMAL,0
OPRMD,DIGGING,1
COLDSTART_MCU,OFF,0
COLDSTART_MCU,TRSM_PRE_HEATING,1
COLDSTART_MCU,GEAR_NEUTRAL_FOR_PRE_HEATING,2
COLDSTART_MCU,NO_FOOT_ON_PDL_FOR_PRE_HEAT,3
COLDSTART_MCU,PARKING_BRAKE_FOR_PRE_HEATING,4
COLDSTART_MCU,FAULT_WHILE_PRE_HEATING,5
