VSS,GROUP_NAME_ABB,NAME_DESC_KR,NAME_DESC,CONTROLLER,DID,BYTE_ORDER,LENGTH_BIT,SCALE,OFFSET,MIN,MAX,UNIT,START,VALUE_TYPE,VALUE_TABLE,MEMORY_ADDR
Mch.Diag.Ver.IsotpEncoder,,,1.11.1,,,,,,,,,,,,,
Mch.Diag.VhcInf.PtcolVers,VhcInf,PtcolVers,PtcolVers,MCU,0x1DD,Motorola,16,1,0,0,65535,,0,uint16,,
Mch.Diag.VhcInf.VhcType,VhcInf,VehClass,VhcType,MCU,0x1DD,Motorola,16,1,0,0,65535,,16,uint16,,
Mch.Diag.VhcInf.Ton1,VhcInf,1자리 톤수,Ton1,MCU,0x1DD,Motorola,4,1,0,0,15,,32,uint8,,
Mch.Diag.VhcInf.Ton10,VhcInf,10자리 톤수,Ton10,MCU,0x1DD,Motorola,4,1,0,0,15,,36,uint8,,
Mch.Diag.VhcInf.EcuMaker1,VhcInf,ECU 메이커,EcuMaker1,MCU,0x1DD,Motorola,3,1,0,0,7,,40,uint8,,
Mch.Diag.VhcInf.PmpType1,VhcInf,펌프 타입,PmpType1,MCU,0x1DD,Motorola,1,1,0,0,1,,43,uint8,,
Mch.Diag.VhcInf.PmpCtrlType1,VhcInf,펌프 제어 방식,PmpCtrlType1,MCU,0x1DD,Motorola,2,1,0,0,3,,44,uint8,,
Mch.Diag.VhcInf.TrvlType,VhcInf,주행 방식,TrvlType,MCU,0x1DD,Motorola,1,1,0,0,1,,46,uint8,,
Mch.Diag.VhcInf.TmsSt,VhcInf,TMS 탑재,TmsSt,MCU,0x1DD,Motorola,1,1,0,0,1,,47,uint8,,
Mch.Diag.VhcInf.McvType1,VhcInf,MCV 타입,McvType1,MCU,0x1DD,Motorola,1,1,0,0,1,,48,uint8,,
Mch.Diag.VhcInf.McvCtrlType1,VhcInf,MCV 제어 방식,McvCtrlType1,MCU,0x1DD,Motorola,2,1,0,0,3,,49,uint8,,
Mch.Diag.VhcInf.ContinentClfc,VhcInf,대륙 구분,ContinentClfc,MCU,0x1DD,Motorola,3,1,0,0,7,,51,uint8,,
Mch.Diag.VhcInf.VhcType1,VhcInf,차량 타입,VhcType,MCU,0x1DD,Motorola,2,1,0,0,3,,54,uint8,,
Mch.Diag.VhcInf.VhcModel,VhcInf,차량 모델 세대,VhcModel,MCU,0x1DD,Motorola,4,1,0,0,15,,56,uint8,,
Mch.Diag.VhcInf.EmsReg,VhcInf,배기 규제,EmsReg,MCU,0x1DD,Motorola,4,1,0,0,15,,60,uint8,,
Mch.Diag.VhcInf.VcuSwVer,VhcInf,VCU Software Version,VcuSwVer,MCU,0x1DD,Motorola,16,1,0,0,65535,,64,uint16,,
Mch.Diag.VhcInf.GpSwVer,VhcInf,Gauge Panel Software Version,GpSwVer,MCU,0x1DD,Motorola,16,1,0,0,65535,,80,uint16,,
Mch.Diag.VhcInf.RomVer,VhcInf,Font ROM Version,RomVer,MCU,0x1DD,Motorola,16,1,0,0,65535,,96,uint16,,
Mch.Diag.VhcInf.EmsCtrl,VhcInf,Emission Control,EmsCtrl,MCU,0x1DD,Motorola,8,1,0,0,255,,112,uint8,,
Mch.Diag.VhcInf.MchGenr,VhcInf,Machine Generation,MchGenr,MCU,0x1DD,Motorola,8,1,0,0,255,,120,uint8,,
Mch.Diag.VhcInf.MchClfc,VhcInf,Machine Classification,MchClfc,MCU,0x1DD,Motorola,16,1,0,0,65535,,128,uint16,,
Mch.Diag.VhcInf.MchType,VhcInf,Machine Type,MchType,MCU,0x1DD,Motorola,4,1,0,0,15,,144,uint8,,
Mch.Diag.VhcInf.ModelYearVer,VhcInf,Model Year Version,ModelYearVer,MCU,0x1DD,Motorola,4,1,0,0,15,,148,uint8,,
Mch.Diag.VhcInf.EgMaker,VhcInf,Engine Maker,EgMaker,MCU,0x1DD,Motorola,4,1,0,0,15,,152,uint8,,
Mch.Diag.VhcInf.EcuMaker,VhcInf,ECU Maker,EcuMaker2,MCU,0x1DD,Motorola,4,1,0,0,15,,156,uint8,,
Mch.Diag.VhcInf.PmpType2,VhcInf,Pump Type,PmpType2,MCU,0x1DD,Motorola,4,1,0,0,15,,160,uint8,,
Mch.Diag.VhcInf.PmpCtrlType2,VhcInf,Pump Control Type,PmpCtrlType2,MCU,0x1DD,Motorola,4,1,0,0,15,,164,uint8,,
Mch.Diag.VhcInf.McvType2,VhcInf,MCV Type,McvType2,MCU,0x1DD,Motorola,4,1,0,0,15,,168,uint8,,
Mch.Diag.VhcInf.McvCtrlType2,VhcInf,MCV Control Type,McvCtrlType2,MCU,0x1DD,Motorola,4,1,0,0,15,,172,uint8,,
Mch.Diag.VhcInf.JoyType,VhcInf,Joystick Type,JoyType,MCU,0x1DD,Motorola,4,1,0,0,15,,176,uint8,,
Mch.Diag.VhcInf.MissionType,VhcInf,Mission Type,MissionType,MCU,0x1DD,Motorola,4,1,0,0,15,,180,uint8,,
Mch.Diag.VhcInf.SalesRegion,VhcInf,Sales Region,SalesRegion,MCU,0x1DD,Motorola,8,1,0,0,255,,184,uint8,,
Mch.Diag.VhcInf.MchMaker,VhcInf,Machine Maker,MchMaker,MCU,0x1DD,Motorola,8,1,0,0,255,,192,uint8,,
Mch.Diag.VhcInf.EcuMaker2,VhcInf,ECU Maker2,EcuMaker2,MCU,0x1DD,Motorola,8,1,0,0,255,,200,uint8,,
Mch.Diag.PmpPrs.FrPmpPrs,PmpPrs,아날로그 입력 - 펌프압력,FrontPumpPressure,MCU,0x101,Motorola,16,0.0625,0,0,500,bar,0,uint16,,
Mch.Diag.PmpPrs.RrPmpPrs,PmpPrs,아날로그 입력 - 펌프압력,RearPumpPressure,MCU,0x101,Motorola,16,0.0625,0,0,500,bar,16,uint16,,
Mch.Diag.PmpAng.FrPmpAng,PmpAng,아날로그 입력 - 펌프 Angle,FrontPumpAngle,MCU,0x102,Motorola,16,1,0,0,5000,mV,0,uint16,,
Mch.Diag.PmpAng.RrPmpAng,PmpAng,아날로그 입력 - 펌프 Angle,RearPumpAngle,MCU,0x102,Motorola,16,1,0,0,5000,mV,16,uint16,,
Mch.Diag.PltPrs.PltBoomDn,PltPrs,붐 다운 압력,PilotBoomDown,MCU,0x103,Motorola,16,0.003906,0,0,50,bar,16,uint16,,
Mch.Diag.PltPrs.PltArmIn,PltPrs,암 크라우드 압력,PilotArmIn,MCU,0x103,Motorola,16,0.003906,0,0,50,bar,32,uint16,,
Mch.Diag.PltPrs.PltBckCrowd,PltPrs,버켓 크라우드 압력,PilotBucketCrowd,MCU,0x103,Motorola,16,0.003906,0,0,50,bar,64,uint16,,
Mch.Diag.McvPrs.PxPrs,McvPrs,아날로그 입력 - MCV 압력,PxPressure,MCU,0x106,Motorola,16,0.0625,0,0,50,bar,0,uint16,,
Mch.Diag.McvPrs.PyPrs,McvPrs,아날로그 입력 - MCV 압력,PyPressure,MCU,0x106,Motorola,16,0.0625,0,0,50,bar,16,uint16,,
Mch.Diag.SplPltPrs.ArmLckPltPrs,SplPltPrs,아날로그 입력 - Spool 파일럿 압력,ArmLockPilotPressure,MCU,0x107,Motorola,16,0.003906,0,0,50,bar,0,uint16,,
Mch.Diag.SplPltPrs.Arm1CdPltPrs,SplPltPrs,아날로그 입력 - Spool 파일럿 압력,Arm1CdPilotPressure,MCU,0x107,Motorola,16,0.003906,0,0,50,bar,16,uint16,,
Mch.Diag.SplPltPrs.Bck2CdPltPrs,SplPltPrs,아날로그 입력 - Spool 파일럿 압력,Bucket2CdPilotPressure,MCU,0x107,Motorola,16,0.003906,0,0,50,bar,32,uint16,,
Mch.Diag.SplPltPrs.Boom3UpPltPrs,SplPltPrs,아날로그 입력 - Spool 파일럿 압력,Boom3UpPilotPressure,MCU,0x107,Motorola,16,0.003906,0,0,50,bar,48,uint16,,
Mch.Diag.CylPrs.BoomCylPrs,CylPrs,아날로그 입력 - 실린더압력,BoomCylinderPressure,MCU,0x108,Motorola,16,0.0625,0,0,500,bar,0,uint16,,
Mch.Diag.CylPrs.BoomHdPrs,CylPrs,아날로그 입력 - 실린더압력,BoomHeadPressure,MCU,0x108,Motorola,16,0.0625,0,0,500,bar,16,uint16,,
Mch.Diag.CylPrs.BoomRodPrs,CylPrs,아날로그 입력 - 실린더압력,BoomRodPressure,MCU,0x108,Motorola,16,0.0625,0,0,500,bar,32,uint16,,
Mch.Diag.CylPrs.ArmHdPrs,CylPrs,아날로그 입력 - 실린더압력,ArmHeadPressure,MCU,0x108,Motorola,16,0.0625,0,0,500,bar,48,uint16,,
Mch.Diag.CylPrs.ArmRodPrs,CylPrs,아날로그 입력 - 실린더압력,ArmRodPressure,MCU,0x108,Motorola,16,0.0625,0,0,500,bar,64,uint16,,
Mch.Diag.CylPrs.BckHdPrs,CylPrs,아날로그 입력 - 실린더압력,BucketHeadPressure,MCU,0x108,Motorola,16,0.0625,0,0,500,bar,80,uint16,,
Mch.Diag.CylPrs.BckRodPrs,CylPrs,아날로그 입력 - 실린더압력,BucketRodPressure,MCU,0x108,Motorola,16,0.0625,0,0,500,bar,96,uint16,,
Mch.Diag.CylPrs.OwdPrs,CylPrs,아날로그 입력 - 실린더압력,OwdPressure,MCU,0x108,Motorola,16,0.0625,0,0,500,bar,144,uint16,,
Mch.Diag.HydOil.HydOilTmp,HydOil,아날로그 입력 - 유압 오일 온도,OilTemperature,MCU,0x10B,Motorola,16,1,-40,-40,120,celsius,0,uint16,,
Mch.Diag.DgtHydSs.ReturnFiltSw,DgtHydSs,디지털 입력 - 유압 (Sensor),ReturnFilterSw2,MCU,0x10C,Motorola,2,1,0,0,1,bool,0,uint8,,
Mch.Diag.DgtHydInf.OwSelSw,DgtHydInf,디지털 입력 - 유압 (Interface),OneWaySelSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,0,uint8,,
Mch.Diag.DgtHydInf.BkrOp,DgtHydInf,디지털 입력 - 유압 (Interface),BreakerOp2,MCU,0x10D,Motorola,2,1,0,0,1,bool,2,uint8,,
Mch.Diag.DgtHydInf.QckCpl,DgtHydInf,디지털 입력 - 유압 (Interface),QuickCoupler2,MCU,0x10D,Motorola,2,1,0,0,1,bool,4,uint8,,
Mch.Diag.DgtHydInf.TwSelSw,DgtHydInf,디지털 입력 - 유압 (Interface),TwoWaySelSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,6,uint8,,
Mch.Diag.DgtHydInf.PltCutSw,DgtHydInf,디지털 입력 - 유압 (Interface),PilotCutSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,8,uint8,,
Mch.Diag.DgtHydInf.BoomFloatSw,DgtHydInf,디지털 입력 - 유압 (Interface),BoomFloatSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,10,uint8,,
Mch.Diag.DgtHydInf.RamLckSw,DgtHydInf,디지털 입력 - 유압 (Interface),RamLockSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,12,uint8,,
Mch.Diag.DgtHydInf.JoyBhlSw,DgtHydInf,디지털 입력 - 유압 (Interface),JoyBHLSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,14,uint8,,
Mch.Diag.DgtHydInf.JoyIsoSw,DgtHydInf,디지털 입력 - 유압 (Interface),JoyISOSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,16,uint8,,
Mch.Diag.DgtHydInf.RevFanSw,DgtHydInf,디지털 입력 - 유압 (Interface),RevFanSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,18,uint8,,
Mch.Diag.DgtHydInf.IIWayOptPdlSw,DgtHydInf,디지털 입력 - 유압 (Interface),IIWayOptPedalSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,20,uint8,,
Mch.Diag.DgtHydInf.OwdSelSw,DgtHydInf,디지털 입력 - 유압 (Interface),OwdSelSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,22,uint8,,
Mch.Diag.DgtHydInf.EmgStrSw,DgtHydInf,디지털 입력 - 유압 (Interface),EmgSteeringSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,24,uint8,,
Mch.Diag.DgtHydInf.TwCloseSw,DgtHydInf,디지털 입력 - 유압 (Interface),TwoWayCloseSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,26,uint8,,
Mch.Diag.DgtHydInf.TwOpenSw,DgtHydInf,디지털 입력 - 유압 (Interface),TwoWayOpenSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,28,uint8,,
Mch.Diag.DgtHydInf.RcwOpenSw,DgtHydInf,디지털 입력 - 유압 (Interface),RcwOperSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,30,uint8,,
Mch.Diag.DgtHydInf.RttSw,DgtHydInf,디지털 입력 - 유압 (Interface),RotatingSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,32,uint8,,
Mch.Diag.DgtHydInf.SwgBrkRlsSw,DgtHydInf,디지털 입력 - 유압 (Interface),SwingBrakeReleaseSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,34,uint8,,
Mch.Diag.DgtHydInf.BkrFloatSw,DgtHydInf,디지털 입력 - 유압 (Interface),BreakerFloatSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,36,uint8,,
Mch.Diag.DgtHydInf.SwgPriSw,DgtHydInf,디지털 입력 - 유압 (Interface),SwingPrioritySw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,38,uint8,,
Mch.Diag.DgtHydInf.RttCwSw,DgtHydInf,디지털 입력 - 유압 (Interface),RotatingCWSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,40,uint8,,
Mch.Diag.DgtHydInf.RttCcwSw,DgtHydInf,디지털 입력 - 유압 (Interface),RotatingCCWSw 2,MCU,0x10D,Motorola,2,1,0,0,1,bool,42,uint8,,
Mch.Diag.DgtHydInf.RamLckAutoSw,DgtHydInf,디지털 입력 - 유압 (Interface),RamLockAutoSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,44,uint8,,
Mch.Diag.DgtHydInf.AutoDigSw,DgtHydInf,디지털 입력 - 유압 (Interface),AutoDigSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,46,uint8,,
Mch.Diag.DgtHydInf.BoomSwgSw,DgtHydInf,디지털 입력 - 유압 (Interface),BoomSwgSw2,MCU,0x10D,Motorola,2,1,0,0,1,bool,48,uint8,,
Mch.Diag.Pmp.FrPmp,Pmp,펌프 비례 감압밸브,FrontPump,MCU,0x115,Motorola,16,,,0,1000,mA,0,uint16,,
Mch.Diag.Pmp.RrPmp,Pmp,펌프 비례 감압밸브 2,RearPump,MCU,0x115,Motorola,16,,,0,1000,mA,16,uint16,,
Mch.Diag.BypEpppr.BypCut,BypEpppr,아날로그 출력 - VBO - Bypass Cut EPPR 전류,BypassCut,MCU,0x116,Motorola,16,1,0,0,700,mA,0,uint16,,
Mch.Diag.BypEpppr.BypCutB,BypEpppr,아날로그 출력 - VBO - Bypass Cut EPPR 전류,BypassCutB,MCU,0x116,Motorola,16,1,0,0,700,mA,16,uint16,,
Mch.Diag.RedVv.TwOpen,RedVv,2-WAY 비례 감압 밸브(열림),TwoWayOpen,MCU,0x117,Motorola,16,1,0,0,700,mA,0,uint16,,
Mch.Diag.RedVv.TwClose,RedVv,2-WAY 비례 감압 밸브(닫힘),TwoWayClose,MCU,0x117,Motorola,16,1,0,0,700,mA,16,uint16,,
Mch.Diag.RedVv.RttCw,RedVv,로테이팅 비례 감압 밸브(CW),RotatingCw,MCU,0x117,Motorola,16,1,0,0,1400,mA,32,uint16,,
Mch.Diag.RedVv.RttCcw,RedVv,로테이팅 비례 감압 밸브(CCW),RotatingCcw,MCU,0x117,Motorola,16,1,0,0,1400,mA,48,uint16,,
Mch.Diag.PrsCtrl.OwRf,PrsCtrl,1-WAY 압력제어 비례 감압 밸브(선택),OneWayRelief,MCU,0x118,Motorola,16,1,0,0,700,mA,0,uint16,,
Mch.Diag.PrsCtrl.TwRf,PrsCtrl,2-WAY 압력제어 비례 감압 밸브(선택),TwoWayRelief,MCU,0x118,Motorola,16,1,0,0,700,mA,16,uint16,,
Mch.Diag.CoolFan.OilFan,CoolFan,쿨링 팬 비례 감압 밸브,OilFan,MCU,0x11B,Motorola,16,1,0,0,700,mA,0,uint16,,
Mch.Diag.Sol.PltCutOffSolVv,Sol,파일럿 Cutoff 솔레노이드,PilotCutOffSolVv2,MCU,0x11F,Motorola,2,1,0,0,1,bool,8,uint8,,
Mch.Diag.Sol1.RvsFanSvCmd,Sol1,역방향 팬 솔레노이드,ReverseFanSVCmd2,MCU,0x120,Motorola,2,1,0,0,1,bool,2,uint8,,
Mch.Diag.Sol1.BkrSelSvCmd,Sol1,브레이커 선택 솔레노이드,BreakerSelSVCmd2,MCU,0x120,Motorola,2,1,0,0,1,bool,4,uint8,,
Mch.Diag.Sol1.BkrOpSvCmd,Sol1,브레이커 동작 솔레노이드,BreakerOpSVCmd2,MCU,0x120,Motorola,2,1,0,0,1,bool,8,uint8,,
Mch.Diag.Sol1.TmsSt,Sol1,TMS 상태,TMSStatus,MCU,0x120,Motorola,2,1,0,0,1,bool,12,uint8,,
Mch.Diag.Sol1.SwgBrkRelSvCmd,Sol1,선회 브레이크 해제 솔레노이드,SwingBrkRelSVCmd2,MCU,0x120,Motorola,2,1,0,0,1,bool,14,uint8,,
Mch.Diag.Sol1.QckCplSolVv,Sol1,퀵 커플러 솔레노이드,QuickCouplerSolVv2,MCU,0x120,Motorola,2,1,0,0,1,bool,28,uint8,,
Mch.Diag.Sol1.FineSwgSolVv,Sol1,미세선회 솔레노이드,FineSwgSolVv2,MCU,0x120,Motorola,2,1,0,0,1,bool,44,uint8,,
Mch.Diag.Fuel.Prs,Fuel,Fuel Pressure,FuelPressure,MCU,0x129,Motorola,16,1,0,0,50,bar,0,uint16,,
Mch.Diag.Fuel.Ss,Fuel,Fuel Sensor level,FuelSensor,MCU,0x129,Motorola,16,1,0,0,100,percent,16,uint16,,
Mch.Diag.EgInfo1.Wif,EgInfo1,연료내 수분 센서,WaterInFuel,MCU,0x12B,Motorola,16,1,0,0,5000,mV,0,uint16,,
Mch.Diag.Cool.CoolTmp,Cool,냉각수온도,CooltTemperature,MCU,0x12D,Motorola,16,1,-40,-40,120,celsius,16,uint16,,
Mch.Diag.Mon.EngSpd,Mon,엔진 회전수,EngSpd 0,MCU,0x132,Motorola,16,0.125,0,0,2500,rpm,0,uint16,,
Mch.Diag.Mon.ThrPosn,Mon,스로틀 포지션,ThrPosn,MCU,0x132,Motorola,16,0.4,0,0,100,percent,16,uint16,,
Mch.Diag.Mon.BoostP,Mon,부스트 압력,BoostP,MCU,0x132,Motorola,16,2,0,0,500,kPa,32,uint16,,
Mch.Diag.Mon.EngOilP,Mon,엔진 오일 압력,EngOilP 5,MCU,0x132,Motorola,16,4,0,0,1000,kPa,48,uint16,,
Mch.Diag.Mon.FuT,Mon,연료 온도,FuT,MCU,0x132,Motorola,16,1,-40,-40,120,celsius,64,uint16,,
Mch.Diag.Mon.EngOilT,Mon,엔진 오일 온도,EngOilT,MCU,0x132,Motorola,16,0.03125,-273,-273,120,celsius,80,uint16,,
Mch.Diag.Mon.CoolT,Mon,냉각수 온도,CooltT,MCU,0x132,Motorola,16,1,-40,-40,120,celsius,96,uint16,,
Mch.Diag.Mon.FuPDlv,Mon,연료 배압,FuPDlv,MCU,0x132,Motorola,16,4,0,0,1000,kPa,112,uint16,,
Mch.Diag.Mon.FanSpd,Mon,팬 회전수,FanSpd,MCU,0x132,Motorola,16,0.125,0,0,3000,rpm,128,uint16,,
Mch.Diag.Mon.Vgt,Mon,,Vgt,MCU,0x132,Motorola,16,,,,,,144,uint16,,
Mch.Diag.Mon.Etc,Mon,,Etc,MCU,0x132,Motorola,16,,,,,,160,uint16,,
Mch.Diag.Mon.CoolEgr,Mon,,CoolEgr,MCU,0x132,Motorola,16,,,,,,176,uint16,,
Mch.Diag.Mon.AirPIntk,Mon,엔진 흡입 공기 온도,AirPIntk,MCU,0x132,Motorola,16,1,-40,-40,120,celsius,192,uint16,,
Mch.Diag.Mon.IntkMnfldT,Mon,공기 유입 온도,IntkMnfldT,MCU,0x132,Motorola,16,1,-40,-40,210,celsius,208,uint16,,
Mch.Diag.Mon.EmiObd,Mon,,EmiObd,MCU,0x132,Motorola,16,,,,,,224,uint16,,
Mch.Diag.Fuel1.FuRate,Fuel1,연료 효율,FuRate,MCU,0x134,Motorola,16,0.05,0,0,150,liters/h,0,uint16,,
Mch.Diag.Fuel1.FuelTotUsedMsb,Fuel1,엔진 연료 총 소모량,FuTotUsedMsb,MCU,0x134,Motorola,16,0.5,0,0,200000,liters,16,uint16,,
Mch.Diag.Fuel1.FuelTotUsedLsb,Fuel1,,FuTotUsedLsb,MCU,0x134,Motorola,16,,,,,,32,uint16,,
Mch.Diag.Mon2.EngLoadRel,Mon2,엔진 부하율,EngLoadRel,MCU,0x135,Motorola,16,1,0,0,125,percent,0,uint16,,
Mch.Diag.Mon2.AppSndCmd,Mon2,엑셀 페달 포지션(RPM 커맨드),AppSndCmd,MCU,0x135,Motorola,16,0.1,0,0,100,percent,16,uint16,,
Mch.Diag.Mon2.TqActRel,Mon2,Actual Engine Percent Torque,TqActRel,MCU,0x135,Motorola,16,1,-125,-125,125,percent,32,uint16,,
Mch.Diag.Mon2.TqFricRel,Mon2,Friction Percent Torque,TqFricRel,MCU,0x135,Motorola,16,1,-125,-125,125,percent,48,uint16,,
Mch.Diag.Mon2.EngTqRef,Mon2,Engine Reference Torque,EngTqRef,MCU,0x135,Motorola,16,1,0,0,64255,Nm,64,uint16,,
Mch.Diag.Mon2.FlywhTq,Mon2,Flywheel Torque,FlywhTq,MCU,0x135,Motorola,16,0.01,0,0,100,percent,80,uint16,,
Mch.Diag.Mon2.EngSpdLmt,Mon2,Engine Speed Limit,EngSpdLim,MCU,0x135,Motorola,16,,,,,,96,uint16,,
Mch.Diag.Mon3.AirClnInd,Mon3,Air Cleaner Indicator,Air Cleaner Indicator,MCU,0x137,Motorola,2,1,0,0,1,bool,0,uint8,,
Mch.Diag.Mon3.EgOilPrsSw,Mon3,Engine Oil Pressure Switch,Engine Oil Pressure Switch,MCU,0x137,Motorola,2,1,0,0,1,bool,2,uint8,,
Mch.Diag.Mon4.OtDecelSw,Mon4,One Touch Decel Switch,One Touch Decel Switch,MCU,0x138,Motorola,2,1,0,0,1,bool,0,uint8,,
Mch.Diag.Mon4.EmgStpSw,Mon4,Emergency Stop Switch,Emergency Stop Switch,MCU,0x138,Motorola,2,1,0,0,1,bool,8,uint8,,
Mch.Diag.Mon4.CoolRvsTankSw,Mon4,Coolant Reserve Tank Switch,Coolant Reserve Tank Switch,MCU,0x138,Motorola,2,1,0,0,1,bool,12,uint8,,
Mch.Diag.Mon4.AutoIdleSw,Mon4,Auto Idle Switch,Auto Idle Switch,MCU,0x138,Motorola,2,1,0,0,1,bool,14,uint8,,
Mch.Diag.Mon4.Efan2FdbkOutSig,Mon4,E-fan 2 Feedback output Signal,E-fan 2 Feedback output Signal,MCU,0x138,Motorola,2,1,0,0,1,bool,18,uint8,,
Mch.Diag.Mon4.Efan1FdbkOutSig,Mon4,E-fan 1 Feedback output Signal,E-fan 1 Feedback output Signal,MCU,0x138,Motorola,2,1,0,0,1,bool,20,uint8,,
Mch.Diag.Mon5.EfanPwm42,Mon5,E-FAN PWM Out,EfanPWM 42,MCU,0x13D,Motorola,16,1,0,0,1000,mA,16,uint16,,
Mch.Diag.EgInfo2.EgOprSig,EgInfo2,디지털 출력 - 엔진,EngOperSig,MCU,0x13E,Motorola,2,1,0,0,1,bool,0,uint8,,
Mch.Diag.EgInfo2.AutoShutOffRly,EgInfo2,디지털 출력 - 엔진,AutoShutOffRelay2,MCU,0x13E,Motorola,2,1,0,0,1,bool,8,uint8,,
Mch.Diag.Sw1.AutoTrvllSw,Sw1,자동 주행 Switch,AutoTravelSw2,MCU,0x152,Motorola,2,1,0,0,1,bool,0,uint8,,
Mch.Diag.Sw1.HiSpdSelSw,Sw1,2속 주행 Switch,HiSpeedSelSw2,MCU,0x152,Motorola,2,1,0,0,1,bool,2,uint8,,
Mch.Diag.Vlt.AltVlt,Vlt,알터네이터 전압,Alternator,MCU,0x165,Motorola,16,0.1,0,0,40,V,0,uint16,,
Mch.Diag.Vlt.BatVlt,Vlt,배터리 전압,Battery,MCU,0x165,Motorola,16,0.1,0,0,40,V,16,uint16,,
Mch.Diag.Sw2.SeatBeltSw,Sw2,안전벨트 스위치,SeatBeltSw2,MCU,0x16F,Motorola,2,1,0,0,1,bool,4,uint8,,
Mch.Diag.Sw2.Alt,Sw2,알터네이터 상태,Alternator2,MCU,0x16F,Motorola,2,1,0,0,1,bool,8,uint8,,
Mch.Diag.Elec.PwrMaxSw,Elec,디지털 입력 - 전장,PowerMaxSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,4,uint8,,
Mch.Diag.Elec.AirconSw,Elec,디지털 입력 - 전장,AirconSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,6,uint8,,
Mch.Diag.Elec.StarterSw,Elec,디지털 입력 - 전장,StarterSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,8,uint8,,
Mch.Diag.Elec.TrvAlarmSw,Elec,디지털 입력 - 전장,TrvAlarmSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,10,uint8,,
Mch.Diag.Elec.SwgAlmSw,Elec,디지털 입력 - 전장,SwingAlarmSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,12,uint8,,
Mch.Diag.Elec.PwrMdSw,Elec,디지털 입력 - 전장,PowerModeSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,18,uint8,,
Mch.Diag.Elec.WrkMdSw,Elec,디지털 입력 - 전장,WorkModeSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,20,uint8,,
Mch.Diag.Elec.AuxiliaryMdSelSw,Elec,디지털 입력 - 전장,AuxiliaryModeSelSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,22,uint8,,
Mch.Diag.Elec.MirrHtSw,Elec,디지털 입력 - 전장,MirrHeatSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,36,uint8,,
Mch.Diag.Elec.KeyOnSw,Elec,디지털 입력 - 전장,KeyOnSw2,MCU,0x170,Motorola,2,1,0,0,1,bool,42,uint8,,
Mch.Diag.Elec1.BackBzRlyCmd,Elec1,디지털 출력 - 전장,BackBuzzRelayCmd2,MCU,0x179,Motorola,2,1,0,0,1,bool,0,uint8,,
Mch.Diag.Elec1.StartRlyCmd,Elec1,디지털 출력 - 전장,StartRelayCmd2,MCU,0x179,Motorola,2,1,0,0,1,bool,2,uint8,,
Mch.Diag.Elec1.WpRly,Elec1,디지털 출력 - 전장,WiprRly2,MCU,0x179,Motorola,2,1,0,0,1,bool,6,uint8,,
Mch.Diag.Elec1.WpWashRly,Elec1,디지털 출력 - 전장,WiprWasherRly2,MCU,0x179,Motorola,2,1,0,0,1,bool,14,uint8,,
Mch.Diag.Elec1.AccRly,Elec1,디지털 출력 - 전장,AccRly2,MCU,0x179,Motorola,2,1,0,0,1,bool,18,uint8,,
Mch.Diag.Rly.HvSysSt,Rly,HV system state,HV system state,MCU,0x180,Motorola,8,1,0,0,255,state,0,uint8,,
Mch.Diag.Rly.Obc1GrLed,Rly,OBC1 Green LED Relay,OBC1 Green LED Relay,MCU,0x180,Motorola,2,1,0,0,1,state,8,uint8,,
Mch.Diag.Rly.Obc1RLed,Rly,OBC1 Red LED Relay,OBC1 Red LED Relay,MCU,0x180,Motorola,2,1,0,0,1,state,10,uint8,,
Mch.Diag.Rly.Obc1WhLed,Rly,OBC1 White LED Relay,OBC1 White LED Relay,MCU,0x180,Motorola,2,1,0,0,1,state,12,uint8,,
