VSS,Type,Desc,DataType,Unit,Min,Max,ValueTable,Allowed,Default,Comment,Hashed,Deprecated
Mch.EEC.AT1OG2,branch,Aftertreatment 1 Outlet Gas 2,,,,,,,,J1939,,
Mch.ECU.AT1IG2,branch,Aftertreatment 1 Intake Gas 2,,,,,,,,J1939,,
Mch.EEC.AT1IG2,branch,Aftertreatment 1 Intake Gas 2,,,,,,,,J1939,,
Mch.AGW.ECUID,branch,PG engcon AGW ECU Identification Information,,,,,,,,J1939,,
Mch.CBSW.OWW,branch,Operator Wiper and Washer Controls Message,,,,,,,,J1939,,
Mch.ECU.EEC5,branch,Electronic Engine Controller 5,,,,,,,,J1939,,
Mch.EJRH.BJM1,branch,Basic Joystick Message 1,,,,,,,,J1939,,
Mch.EJRH.EJM1,branch,Extended Joystick Message 1,,,,,,,,J1939,,
Mch.EJLH.BJM2,branch,Basic Joystick Message 2,,,,,,,,J1939,,
Mch.EJLH.EJM2,branch,Extended Joystick Message 2,,,,,,,,J1939,,
Mch.EPDLT.BJM3,branch,Basic Joystick Message 3,,,,,,,,J1939,,
Mch.EPDL2.BJM3,branch,Basic Joystick Message 3,,,,,,,,J1939,,
Mch.EPDLR.BJM3,branch,Basic Joystick Message 3,,,,,,,,J1939,,
Mch.EPDLA.BJM3,branch,Basic Joystick Message 3,,,,,,,,J1939,,
Mch.TRBDZ.AV01C,branch,Auxiliary Valve Number 1 Command,,,,,,,,J1939,,
Mch.TRBDZ.AV02C,branch,Auxiliary Valve Number 2 Command,,,,,,,,J1939,,
Mch.CBSW.LCMD,branch,Lighting Command,,,,,,,,J1939,,
Mch.MCU.WBSD,branch,Wheel-based Speed and Distance,,,,,,,,J1939,,
Mch.TCU.ETC7,branch,Electronic Transmission Controller 7,,,,,,,,J1939,,
Mch.ECU.TCFG2,branch,Transmission Configuration 2,,,,,,,,J1939,,
Mch.BRK.VDC1,branch,Vehicle Dynamic Stability Control 1,,,,,,,,J1939,,
Mch.ECU.AT1T1I1,branch,Aftertreatment 1 Diesel Exhaust Fluid Tank 1 Information 1,,,,,,,,J1939,,
Mch.ECU1.AT1T1I1,branch,Aftertreatment 1 Diesel Exhaust Fluid Tank 1 Information 1,,,,,,,,J1939,,
Mch.EPDL2.TCO1,branch,Tachograph,,,,,,,,J1939,,
Mch.BRK.HRWS,branch,High Resolution Wheel Speed,,,,,,,,J1939,,
Mch.ECU.AAI2EDC,branch,Auxiliary Analog Information,,,,,,,,J1939,,
Mch.ECU.FD1,branch,Fan Drive #1,,,,,,,,J1939,,
Mch.ECU.EEC4,branch,Electronic Engine Controller 4,,,,,,,,J1939,,
Mch.BRK.EBC2,branch,Wheel Speed Information,,,,,,,,J1939,,
Mch.EPDL2.VDHR,branch,High Resolution Vehicle Distance,,,,,,,,J1939,,
Mch.ECU.DM1,branch,Active Diagnostic Trouble Codes,,,,,,,,J1939,,
Mch.EEC.DM1,branch,Active Diagnostic Trouble Codes,,,,,,,,J1939,,
Mch.ECU.DM2,branch,Previously Active Diagnostic Trouble Codes,,,,,,,,J1939,,
Mch.ECU.DM4,branch,Freeze Frame Parameters,,,,,,,,J1939,,
Mch.ECU.DM5,branch,Diagnostic Readiness 1,,,,,,,,J1939,,
Mch.ECU.DM6,branch,Pending DTCs ,,,,,,,,J1939,,
Mch.ECU.AUXIO1,branch,Auxiliary Input/Output Status 1,,,,,,,,J1939,,
Mch.ECU.IDLOP,branch,Idle Operation,,,,,,,,J1939,,
Mch.ECU.EEC3,branch,Electronic Engine Controller 3,,,,,,,,J1939,,
Mch.ECU.SHUTDWN,branch,Shutdown,,,,,,,,J1939,,
Mch.ECU.HOURS,branch,"Engine Hours, Revolutions",,,,,,,,J1939,,
Mch.CLST.TD,branch,Time/Date,,,,,,,,J1939,,
Mch.EPDL2.TD,branch,Time/Date,,,,,,,,J1939,,
Mch.ECU.VH,branch,Vehicle Electrical Power 1,,,,,,,,J1939,,
Mch.ECU.LFC1,branch,Fuel Consumption (Liquid) 1,,,,,,,,J1939,,
Mch.ECU.CI,branch,Component Identification,,,,,,,,J1939,,
Mch.ECU.VI,branch,Vehicle Identification,,,,,,,,J1939,,
Mch.ECU.CCSS,branch,Cruise Control/Vehicle Speed Setup,,,,,,,,J1939,,
Mch.TCU.CCSS,branch,Cruise Control/Vehicle Speed Setup,,,,,,,,J1939,,
Mch.FNR.CCSS,branch,Cruise Control/Vehicle Speed Setup,,,,,,,,J1939,,
Mch.ECU.ET1,branch,Engine Temperature 1,,,,,,,,J1939,,
Mch.HDOQS.OT,branch,Oil Temperature,,,,,,,,J1939,,
Mch.EGOQS.OT,branch,Oil Temperature,,,,,,,,J1939,,
Mch.ECU.EFLP1,branch,Engine Fluid Level/Pressure 1,,,,,,,,J1939,,
Mch.ECU.CCVS,branch,Cruise Control/Vehicle Speed 1,,,,,,,,J1939,,
Mch.TCU.CCVS,branch,Cruise Control/Vehicle Speed 1,,,,,,,,J1939,,
Mch.MCU.CCVS,branch,Cruise Control/Vehicle Speed 1,,,,,,,,J1939,,
Mch.ECU.LFE1,branch,Fuel Economy,,,,,,,,J1939,,
Mch.ECU.AMB,branch,Ambient Conditions,,,,,,,,J1939,,
Mch.ECU.IC1,branch,Intake/Exhaust Conditions 1,,,,,,,,J1939,,
Mch.ECU.VEP1,branch,Vehicle Electrical Power 1,,,,,,,,J1939,,
Mch.TCU.TF,branch,Transmission Fluids 1,,,,,,,,J1939,,
Mch.FNR.B1,branch,Brakes 1,,,,,,,,J1939,,
Mch.TCU.RF,branch,Retarder fluids,,,,,,,,J1939,,
Mch.CLST.DD1,branch,Dash Display 1,,,,,,,,J1939,,
